Client ID,Average Number of Tickets,Number of Employees,Value of Contract,Industry
TK669,90,561,200000,Retail
EY859,85,530,200000,Retail
TN571,5,82,25000,Manufacturing
LJ675,82,491,225000,Manufacturing
KH713,12,230,75000,Services
NU563,74,613,225000,Manufacturing
JB001,7,332,125000,Services
RK635,58,405,175000,Retail
OL292,8,224,100000,Manufacturing
BL855,101,790,200000,Retail
DP738,14,708,175000,Services
EP164,43,591,200000,Manufacturing
CI402,32,265,100000,Manufacturing
WS449,10,320,150000,Retail
XJ283,84,586,250000,Retail
YH077,108,896,250000,Manufacturing
HJ096,91,503,225000,Services
XE994,17,531,175000,Retail
FL513,13,525,175000,Manufacturing
EO340,70,625,200000,Retail
YU536,4,111,50000,Retail
MK977,70,418,150000,Manufacturing
MA228,2,215,50000,Retail
VT098,57,717,150000,Retail
YS238,67,556,250000,Manufacturing
TL887,16,205,100000,Services
OR604,31,323,125000,Manufacturing
RC109,5,331,100000,Retail
ZF067,1,161,50000,Retail
XH481,18,366,175000,Retail
AK669,4,157,75000,Retail
SE141,192,1000,250000,Manufacturing
OU667,110,507,250000,Manufacturing
KX471,4,118,25000,Services
GA259,10,182,75000,Retail
EK473,9,77,25000,Manufacturing
OL641,71,370,150000,Manufacturing
PV761,3,162,75000,Retail
JX828,118,493,200000,Manufacturing
VT172,10,331,75000,Services
JH098,2,54,25000,Retail
EJ875,13,266,125000,Retail
QE887,34,469,100000,Retail
SF991,80,333,150000,Manufacturing
AY138,34,469,225000,Manufacturing
SI109,18,253,100000,Retail
XC728,64,265,125000,Manufacturing
BF513,69,429,175000,Retail
ZS670,2,201,75000,Services
YJ997,4,85,25000,Retail
XS942,75,781,250000,Retail
JR278,11,338,100000,Retail
EA795,13,325,100000,Retail
WO136,21,443,125000,Manufacturing
NA044,12,206,75000,Manufacturing
CN665,28,576,150000,Retail
GJ526,164,853,250000,Manufacturing
VO304,19,190,50000,Services
VZ185,65,451,175000,Retail
II783,10,652,225000,Retail
SP442,6,346,150000,Retail
MT674,84,349,150000,Manufacturing
MO024,42,434,125000,Manufacturing
DY941,90,702,175000,Retail
MW987,153,638,200000,Manufacturing
BV660,86,765,225000,Retail
SF759,130,1086,225000,Services
UO757,108,751,175000,Retail
AD933,78,557,150000,Services
CP860,23,566,150000,Services
FP273,74,465,200000,Retail
BE641,50,445,175000,Retail
CC600,8,102,25000,Retail
WI528,133,792,225000,Manufacturing
EY926,10,435,125000,Manufacturing
VE371,19,296,75000,Retail
FS028,61,284,125000,Manufacturing
CC735,54,544,250000,Services
SS800,10,142,50000,Retail
UY281,125,1116,250000,Retail
HQ058,63,447,200000,Services
FM980,49,294,125000,Manufacturing
RE016,77,458,175000,Manufacturing
HI049,61,542,225000,Retail
SJ512,5,56,25000,Manufacturing
PF181,2,117,50000,Retail
NK997,23,484,225000,Retail
XE927,57,359,175000,Services
DG417,6,185,50000,Services
XF205,134,745,225000,Services
RU423,48,336,125000,Retail
XE728,18,561,250000,Retail
LF048,117,542,200000,Manufacturing
EC187,125,746,150000,Manufacturing
TM675,3,87,25000,Retail
CW599,63,330,150000,Manufacturing
EJ510,79,549,200000,Retail
SS713,12,374,100000,Retail
AG993,68,485,225000,Services
FE145,20,422,150000,Retail
KU579,16,220,100000,Manufacturing
HA467,76,451,150000,Manufacturing
IH316,61,382,175000,Retail
JY500,11,537,250000,Services
DY444,80,623,200000,Retail
AG942,8,314,100000,Manufacturing
IH238,112,467,225000,Manufacturing
BB845,64,573,175000,Retail
AS615,31,284,100000,Manufacturing
XW315,6,157,75000,Retail
DT205,90,747,225000,Services
UD496,64,806,175000,Retail
AB625,48,479,200000,Services
AD530,22,230,75000,Manufacturing
ZT566,117,696,225000,Manufacturing
MR594,48,757,200000,Retail
FB010,45,938,200000,Manufacturing
XS766,1,118,50000,Services
ER254,120,625,175000,Manufacturing
UT353,4,150,75000,Retail
ED793,6,179,50000,Manufacturing
GO021,52,811,250000,Retail
NR717,31,655,200000,Retail
XF028,116,581,250000,Services
HJ024,70,437,200000,Retail
QS841,55,460,200000,Services
DH885,11,439,200000,Manufacturing
PU583,15,242,100000,Retail
